# max_time,max,min_time,min
1.199999999999999956e+00,1.174946117401123047e+01,1.666666666666666741e+00,7.998334069489096976e+00
3.933333333333333126e+00,1.104550650662649502e+01,4.866666666666666252e+00,5.721575603755981732e+00
7.466666666666666785e+00,7.877379611449919494e+00,8.633333333333332860e+00,4.226857756496258389e+00
1.083333333333333393e+01,9.361861517268648569e+00,1.143333333333333357e+01,5.727578734279408224e+00
1.359999999999999964e+01,8.282258322078229540e+00,1.509999999999999964e+01,3.327419757843044223e+00
1.736666666666666714e+01,7.220984176116673758e+00,1.863333333333333286e+01,2.376557826995853162e+00
2.206666666666666643e+01,7.878094007808199351e+00,2.430000000000000071e+01,5.218455735439064824e-01
2.846666666666666501e+01,6.823741774321954168e+00,2.896666666666666501e+01,1.960255622863833480e+00
3.110000000000000142e+01,6.298559665679931641e+00,3.329999999999999716e+01,1.099500794647783053e+00
3.560000000000000142e+01,4.487671450095858994e+00,3.756666666666666998e+01,5.616052094692047802e-01
4.066666666666666430e+01,5.584917520179714323e+00,4.293333333333333002e+01,-1.478235621592993709e-01
4.539999999999999858e+01,6.006436853034524681e+00,4.639999999999999858e+01,8.727002687736135078e-01
4.993333333333333002e+01,5.359243392944335049e+00,5.139999999999999858e+01,6.679217964668637819e-01
5.616666666666666430e+01,3.037683631286651753e+00,5.800000000000000000e+01,2.445753797862959544e+00

mean min, 2.6685773750234643
mean max, 7.215271400207313
count per minute, 14.015572858731925
