# frame_no,time,bDetected,angle_B,angle_L,angle_wrtB_L,angle_R,angle_wrtB_R,area_norm_L,area_norm_R,ax_ratio_L,ax_ratio_R
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,8.642366562500265559e+01,1.184146270751953125e+02,-3.199096145019265691e+01,7.769699287414550781e+01,8.726672750857147776e+00,1.054498543335342757e-02,-1.458663155721036343e-03,1.629441402895950519e+00,1.619120760857729158e+00
1.000000000000000000e+00,3.333333333333333287e-02,1.000000000000000000e+00,8.642366562500265559e+01,1.177091407775878906e+02,-3.128547515258523504e+01,7.705239963531494141e+01,9.371265989687714182e+00,3.359800163639385055e-03,1.221410714730727487e-04,1.640621325646598905e+00,1.626766230930099866e+00
1.000000000000000000e+01,3.333333333333333148e-01,1.000000000000000000e+00,8.642366562500265559e+01,1.222871589660644531e+02,-3.586349334106179754e+01,7.336997413635253906e+01,1.305369148865011653e+01,-1.772475029013501806e-03,5.918423237851472805e-03,1.657508124583566778e+00,1.600391912153876550e+00
1.000000000000000000e+02,3.333333333333333481e+00,1.000000000000000000e+00,8.704922089099365223e+01,1.208432922363281250e+02,-3.379407134533447277e+01,7.434217453002929688e+01,1.270704636096435536e+01,1.567726062600631465e-02,1.176010556269145449e-03,1.631686821195252879e+00,1.621713381800777398e+00
1.000000000000000000e+03,3.333333333333333570e+01,1.000000000000000000e+00,8.587240829748827764e+01,1.192093257904052734e+02,-3.333691749291699580e+01,7.831012821197509766e+01,7.562280085513179984e+00,1.516403310674102438e-02,8.553096949841654598e-03,1.640165858538951138e+00,1.630930612212752928e+00
1.001000000000000000e+03,3.336666666666666714e+01,1.000000000000000000e+00,8.582956347515789730e+01,1.198616638183593750e+02,-3.403210034320147770e+01,7.913964366912841797e+01,6.689919806029479332e+00,5.925937759965828160e-03,-9.889619034089618815e-03,1.639593602126725447e+00,1.641337488254531740e+00
1.002000000000000000e+03,3.339999999999999858e+01,1.000000000000000000e+00,8.587240829748827764e+01,1.194296836853027344e+02,-3.355727538781445674e+01,7.907946777343750000e+01,6.792940524050777640e+00,1.619048814527160318e-02,-1.458663155721036343e-03,1.661231561722072092e+00,1.620408349813082127e+00
1.003000000000000000e+03,3.343333333333333002e+01,1.000000000000000000e+00,8.587240829748827764e+01,1.202190895080566406e+02,-3.434668121056836299e+01,7.867904186248779297e+01,7.193366435000484671e+00,2.132276333792448852e-02,6.445357980249509684e-03,1.637046383284796125e+00,1.616212975842000965e+00
1.004000000000000000e+03,3.346666666666666856e+01,1.000000000000000000e+00,8.582956347515789730e+01,1.202544498443603516e+02,-3.442488636920245426e+01,7.816096115112304688e+01,7.668602324034850426e+00,1.824339822233275732e-02,-4.093336867711218352e-03,1.635646006105235584e+00,1.644028435959511647e+00
1.005000000000000000e+03,3.350000000000000000e+01,1.000000000000000000e+00,8.587240829748827764e+01,1.205895671844482422e+02,-3.471715888695996455e+01,7.769769763946533203e+01,8.174710658022945609e+00,9.005302875557560233e-03,6.972292722647545696e-03,1.645326090221134852e+00,1.643751387100071515e+00
1.006000000000000000e+03,3.353333333333333144e+01,1.000000000000000000e+00,8.587240829748827764e+01,1.202829570770263672e+02,-3.441054877953808955e+01,7.819662666320800781e+01,7.675781634280269827e+00,7.465620317761694630e-03,6.490758138711091125e-04,1.644464522034718712e+00,1.636493446582483413e+00
1.007000000000000000e+03,3.356666666666666998e+01,1.000000000000000000e+00,8.582956347515789730e+01,1.206009693145751953e+02,-3.477140583941729801e+01,7.813460350036621094e+01,7.694959974791686363e+00,1.820117605843519018e-03,-6.728010579701400144e-03,1.643685608515967012e+00,1.623580615198510824e+00
1.008000000000000000e+03,3.360000000000000142e+01,1.000000000000000000e+00,8.582956347515789730e+01,1.197516002655029297e+02,-3.392203679034503239e+01,7.812883090972900391e+01,7.700732565428893395e+00,1.362435054894515878e-02,8.026162207443619453e-03,1.673874901596999143e+00,1.650610229172157606e+00
1.009000000000000000e+03,3.363333333333333286e+01,1.000000000000000000e+00,8.642366562500265559e+01,1.200597496032714844e+02,-3.363608397826882879e+01,7.917397499084472656e+01,7.249690634157929026e+00,-5.365067663870522197e-03,-7.254945322099437023e-03,1.645656010631355581e+00,1.611722493372351517e+00
