# frame_no,time,bDetected,angle_B,angle_L,angle_wrtB_L,angle_R,angle_wrtB_R,area_norm_L,area_norm_R,ax_ratio_L,ax_ratio_R
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.094871578216552734e+02,7.051284217834472656e+01,1.065446166992187500e+02,7.345538330078125000e+01,-3.767735053081245483e-02,-2.120325100012420815e-03,1.560267960469716941e+00,1.595002145016665596e+00
1.000000000000000000e+00,3.333333333333333287e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.095570335388183594e+02,7.044296646118164062e+01,1.069139099121093750e+02,7.308609008789062500e+01,-3.852905771034044469e-02,1.356791131622613186e-03,1.580392575449153680e+00,1.595510626908551499e+00
1.000000000000000000e+01,3.333333333333333148e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.101939773559570312e+02,6.980602264404296875e+01,1.059428558349609375e+02,7.405714416503906250e+01,-3.517546069094898420e-02,1.202521593323010486e-02,1.574451225642331309e+00,1.577363151435056787e+00
1.000000000000000000e+02,3.333333333333333481e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.063605785369873047e+02,7.363942146301269531e+01,1.067579345703125000e+02,7.324206542968750000e+01,3.482422312650768070e-02,4.728540204723252066e-03,1.468841030683979421e+00,1.625771136870763467e+00
1.000000000000000000e+03,3.333333333333333570e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.064096450805664062e+02,7.359035491943359375e+01,1.080254516601562500e+02,7.197454833984375000e+01,2.071782296557534916e-02,3.385108933409716660e-03,1.475307651852866497e+00,1.621104640422991405e+00
1.001000000000000000e+03,3.336666666666666714e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.068104152679443359e+02,7.318958473205566406e+01,1.075962677001953125e+02,7.240373229980468750e+01,2.130337165150084089e-02,2.041677662096180387e-03,1.475510539247824715e+00,1.622893054430167847e+00
1.002000000000000000e+03,3.339999999999999858e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.066401386260986328e+02,7.335986137390136719e+01,1.075434417724609375e+02,7.245655822753906250e+01,1.853532331803487559e-02,-1.619831096974044642e-03,1.479617711317987805e+00,1.629183475938140058e+00
1.003000000000000000e+03,3.343333333333333002e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.068148689270019531e+02,7.318513107299804688e+01,1.073977050781250000e+02,7.260229492187500000e+01,1.741745764490438761e-02,-4.081087738285024864e-04,1.481884945646883889e+00,1.623007778142125934e+00
1.004000000000000000e+03,3.346666666666666856e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.066730918884277344e+02,7.332690811157226562e+01,1.073912658691406250e+02,7.260873413085937500e+01,1.725776254874289081e-02,-2.014957941478025694e-03,1.478364932941101939e+00,1.620763653118920011e+00
1.005000000000000000e+03,3.350000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.068346691131591797e+02,7.316533088684082031e+01,1.074158630371093750e+02,7.258413696289062500e+01,1.653913461601614829e-02,-2.568135523783599428e-03,1.481634079339561927e+00,1.622960353501279540e+00
1.006000000000000000e+03,3.353333333333333144e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.070330066680908203e+02,7.296699333190917969e+01,1.073586120605468750e+02,7.264138793945312500e+01,1.454294591399742272e-02,-2.857895209753185794e-03,1.488825412197234410e+00,1.624811764059898689e+00
1.007000000000000000e+03,3.356666666666666998e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.073991870880126953e+02,7.260081291198730469e+01,1.072380218505859375e+02,7.276197814941406250e+01,1.071026360612146837e-02,-2.489110154882803305e-03,1.495776879019280692e+00,1.622815109675775247e+00
1.008000000000000000e+03,3.360000000000000142e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.073759937286376953e+02,7.262400627136230469e+01,1.070725555419921875e+02,7.292744445800781250e+01,7.862367724574751207e-03,-4.780845853005893931e-03,1.500921028876646801e+00,1.622056583694384102e+00
1.009000000000000000e+03,3.363333333333333286e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.076447448730468750e+02,7.235525512695312500e+01,1.070658569335937500e+02,7.293414306640625000e+01,4.774929198785787983e-03,-2.173008679279618376e-03,1.509203235064169757e+00,1.616337534946310495e+00
1.010000000000000000e+02,3.366666666666666696e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.030869083404541016e+02,7.691309165954589844e+01,1.098771362304687500e+02,7.012286376953125000e+01,3.202955894368146594e-02,-6.414036810289016136e-03,1.469983001446180770e+00,1.630095710144183085e+00
1.010000000000000000e+03,3.366666666666666430e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.079087448120117188e+02,7.209125518798828125e+01,1.069775695800781250e+02,7.302243041992187500e+01,1.873801618518572756e-03,-1.962274362210828134e-03,1.512392851281322725e+00,1.614116150158200647e+00
1.011000000000000000e+03,3.370000000000000284e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.081223545074462891e+02,7.187764549255371094e+01,1.069003295898437500e+02,7.309967041015625000e+01,-2.358118429761127052e-03,-2.699844471951593113e-03,1.517926965396654726e+00,1.607819277546246983e+00
1.012000000000000000e+03,3.373333333333333428e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.080827159881591797e+02,7.191728401184082031e+01,1.069756164550781250e+02,7.302438354492187500e+01,-3.688910897773611201e-03,-1.435438569538853397e-03,1.523636706674864616e+00,1.607819983979652090e+00
1.013000000000000000e+03,3.376666666666666572e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.081425266265869141e+02,7.185747337341308594e+01,1.068581542968750000e+02,7.314184570312500000e+01,-1.241890948793550678e-02,-3.027416152941075282e-04,1.533870358888499874e+00,1.601114178669060362e+00
1.014000000000000000e+03,3.379999999999999716e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.081854267120361328e+02,7.181457328796386719e+01,1.067655792236328125e+02,7.323442077636718750e+01,-1.510711027332072541e-02,3.294613359122623296e-04,1.542108699310443143e+00,1.596715205299361173e+00
1.015000000000000000e+03,3.383333333333333570e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.082960453033447266e+02,7.170395469665527344e+01,1.065670928955078125e+02,7.343290710449218750e+01,-1.973826806200416895e-02,-9.086027768668786600e-04,1.539212380883904885e+00,1.588156849913610502e+00
1.016000000000000000e+03,3.386666666666666714e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.082535839080810547e+02,7.174641609191894531e+01,1.066628875732421875e+02,7.333711242675781250e+01,-2.705762663607283458e-02,1.251423973088218282e-03,1.559319736252407607e+00,1.591194128223508031e+00
1.017000000000000000e+03,3.389999999999999858e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.082553443908691406e+02,7.174465560913085938e+01,1.067790374755859375e+02,7.322096252441406250e+01,-3.035799195674379267e-02,5.123667049227233553e-03,1.572702231500212156e+00,1.589110671325170143e+00
1.018000000000000000e+03,3.393333333333333002e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.091335811614990234e+02,7.086641883850097656e+01,1.057124481201171875e+02,7.428755187988281250e+01,-3.057091875162579186e-02,6.282705793105578147e-03,1.578757682915219451e+00,1.591068779544014156e+00
1.019000000000000000e+03,3.396666666666666856e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.082204399108886719e+02,7.177956008911132812e+01,1.060647583007812500e+02,7.393524169921875000e+01,-3.235418065876251997e-02,2.410462716966562877e-03,1.561296308443769432e+00,1.582476375696237225e+00
1.020000000000000000e+02,3.399999999999999911e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.031954565048217773e+02,7.680454349517822266e+01,1.062801513671875000e+02,7.371984863281250000e+01,-2.051012769345141040e-02,-6.283815020545752139e-02,1.510248811555478632e+00,1.688936206947666108e+00
1.020000000000000000e+03,3.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.084106922149658203e+02,7.158930778503417969e+01,1.063219299316406250e+02,7.367807006835937500e+01,-3.152908932859477958e-02,3.648526829745704029e-03,1.564250712274113164e+00,1.584082049086591892e+00
1.021000000000000000e+03,3.403333333333333144e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.079708137512207031e+02,7.202918624877929688e+01,1.067918853759765625e+02,7.320811462402343750e+01,-2.825533985728406750e-02,6.730516216876756760e-03,1.568864812667662312e+00,1.588545300226069878e+00
1.022000000000000000e+03,3.406666666666666998e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.079275684356689453e+02,7.207243156433105469e+01,1.067560577392578125e+02,7.324394226074218750e+01,-2.668500474502933859e-02,5.650502841899208289e-03,1.569109904913664977e+00,1.593786145775117014e+00
1.023000000000000000e+03,3.410000000000000142e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.078329677581787109e+02,7.216703224182128906e+01,1.067462768554687500e+02,7.325372314453125000e+01,-2.479527944045160914e-02,5.413426735196819918e-03,1.566292628033495449e+00,1.596177729477661345e+00
1.024000000000000000e+03,3.413333333333333286e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.075746936798095703e+02,7.242530632019042969e+01,1.069962921142578125e+02,7.300370788574218750e+01,-1.808808540166868817e-02,4.886590942524845181e-03,1.556066451120386107e+00,1.601320640241232107e+00
1.025000000000000000e+03,3.416666666666666430e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.074561309814453125e+02,7.254386901855468750e+01,1.069787597656250000e+02,7.302124023437500000e+01,-1.209951929561251145e-02,6.809541585777552884e-03,1.544693911739464021e+00,1.600492437354128716e+00
1.026000000000000000e+03,3.420000000000000284e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.073120994567871094e+02,7.268790054321289062e+01,1.071705627441406250e+02,7.282943725585937500e+01,-7.867599247332811643e-03,3.411450723043315224e-03,1.534575250742696850e+00,1.605738815543593212e+00
1.027000000000000000e+03,3.423333333333333428e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.073738651275634766e+02,7.262613487243652344e+01,1.072337036132812500e+02,7.276629638671875000e+01,-4.939855817705346083e-03,2.594855244401754121e-03,1.529037880171069119e+00,1.603645054596250397e+00
1.028000000000000000e+03,3.426666666666666572e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.070722579956054688e+02,7.292774200439453125e+01,1.073627929687500000e+02,7.263720703125000000e+01,2.512582003164565148e-03,1.277765762721817062e-03,1.516530595142962623e+00,1.607334925846756857e+00
1.029000000000000000e+03,3.429999999999999716e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.071954727172851562e+02,7.280452728271484375e+01,1.073674316406250000e+02,7.263256835937500000e+01,4.082917115419296659e-03,1.567525448691403211e-03,1.514016619283509835e+00,1.606763778858901981e+00
1.030000000000000000e+02,3.433333333333333126e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.042643203735351562e+02,7.573567962646484375e+01,1.084274139404296875e+02,7.157258605957031250e+01,3.474437557842693231e-02,-1.241996484674952848e-02,1.452360913220118288e+00,1.628302373153770244e+00
1.030000000000000000e+03,3.433333333333333570e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.067918853759765625e+02,7.320811462402343750e+01,1.073611907958984375e+02,7.263880920410156250e+01,5.067703541748534712e-03,-4.701820484105097807e-03,1.506358258064066202e+00,1.625323288944972688e+00
1.031000000000000000e+03,3.436666666666666714e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.067380619049072266e+02,7.326193809509277344e+01,1.075065002441406250e+02,7.249349975585937500e+01,8.234989615618247202e-03,-3.569123529860351775e-03,1.502645601628830097e+00,1.620994322954950828e+00
1.032000000000000000e+03,3.439999999999999858e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.066949825286865234e+02,7.330501747131347656e+01,1.072295684814453125e+02,7.277043151855468750e+01,1.222736701965570008e-02,-3.516439950593154215e-03,1.493811154924505225e+00,1.621349956642001322e+00
1.033000000000000000e+03,3.443333333333333002e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.068454818725585938e+02,7.315451812744140625e+01,1.072306518554687500e+02,7.276934814453125000e+01,1.398401307743217872e-02,-8.758456087679304322e-03,1.484624549523186898e+00,1.619770750104905677e+00
1.034000000000000000e+03,3.446666666666666856e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.068338260650634766e+02,7.316617393493652344e+01,1.072386627197265625e+02,7.276133728027343750e+01,1.733761009682363921e-02,-6.451848805308911831e-04,1.482929047277873114e+00,1.623123082794853067e+00
1.035000000000000000e+03,3.450000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.064758243560791016e+02,7.352417564392089844e+01,1.078452758789062500e+02,7.215472412109375000e+01,2.095736560981759436e-02,2.779247771836945366e-03,1.478061463394089392e+00,1.620746808422032004e+00
