# frame_no,time,bDetected,angle_B,angle_L,angle_wrtB_L,angle_R,angle_wrtB_R,area_norm_L,area_norm_R,ax_ratio_L,ax_ratio_R
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.906818866729736328e+01,8.093181133270263672e+01,7.703272533416748047e+01,-7.703272533416748047e+01,1.501217614748660140e-02,1.373017484185639660e-02,1.692190160717060410e+00,1.778388561121185596e+00
1.000000000000000000e+00,3.333333333333333287e-02,1.000000000000000000e+00,0.000000000000000000e+00,9.946570777893066406e+01,8.053429222106933594e+01,7.808370971679687500e+01,-7.808370971679687500e+01,1.922384492818156668e-02,3.629465523817142214e-02,1.752007845901304872e+00,1.767035475263928346e+00
1.000000000000000000e+01,3.333333333333333148e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.001191482543945312e+02,7.988085174560546875e+01,7.670947742462158203e+01,-7.670947742462158203e+01,-3.721251673313096670e-02,-7.998584058298809779e-03,1.773053726329352653e+00,1.786096238215481469e+00
1.000000000000000000e+02,3.333333333333333481e+00,1.000000000000000000e+00,0.000000000000000000e+00,8.524642944335937500e+01,-8.524642944335937500e+01,8.355161285400390625e+01,-8.355161285400390625e+01,-2.541984414718506322e-02,2.459455429193400239e-02,1.746890869737920626e+00,1.716277454731047314e+00
1.000000000000000000e+03,3.333333333333333570e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.014765281677246094e+02,7.852347183227539062e+01,7.989584350585937500e+01,-7.989584350585937500e+01,-1.531183907351714793e-02,2.208738980345455530e-02,1.764526478990314340e+00,1.731385339003372437e+00
1.001000000000000000e+03,3.336666666666666714e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.015254259109497070e+02,7.847457408905029297e+01,8.077436828613281250e+01,-8.077436828613281250e+01,-1.498314630152733752e-04,-6.327141065979178386e-03,1.721464730615717587e+00,1.762470910683751946e+00
1.002000000000000000e+03,3.339999999999999858e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.024898176193237305e+02,7.751018238067626953e+01,8.208227682113647461e+01,-8.208227682113647461e+01,5.746504829957677606e-03,-1.886296350837641383e-02,1.765828088189612677e+00,1.737120628581355630e+00
1.003000000000000000e+03,3.343333333333333002e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.023388328552246094e+02,7.766116714477539062e+01,8.022827434539794922e+01,-8.022827434539794922e+01,1.248517487906962257e-02,1.122301035337695124e-02,1.764194612300728382e+00,1.749890807612881627e+00
1.004000000000000000e+03,3.346666666666666856e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.023205614089965820e+02,7.767943859100341797e+01,8.188316822052001953e+01,-8.188316822052001953e+01,1.164284112293062848e-02,-7.998584058298809779e-03,1.720757543133712097e+00,1.740353637143847054e+00
1.005000000000000000e+03,3.350000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.011352910995483398e+02,7.886470890045166016e+01,8.185943317413330078e+01,-8.185943317413330078e+01,5.746504829957677606e-03,-2.137012799685586092e-02,1.748978911710524997e+00,1.802217630007131532e+00
1.006000000000000000e+03,3.353333333333333144e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.029487094879150391e+02,7.705129051208496094e+01,7.967826652526855469e+01,-7.967826652526855469e+01,-1.834498975293259509e-03,-1.312812089020284423e-03,1.739587135480802793e+00,1.767986457671605116e+00
1.007000000000000000e+03,3.356666666666666998e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.020171728134155273e+02,7.798282718658447266e+01,7.999305152893066406e+01,-7.999305152893066406e+01,1.922384492818156668e-02,-2.148533585180100337e-03,1.763699775366827982e+00,1.760961287015353705e+00
1.008000000000000000e+03,3.360000000000000142e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.027307453155517578e+02,7.726925468444824219e+01,8.121295356750488281e+01,-8.121295356750488281e+01,-1.834498975293259509e-03,-2.984255081339915600e-03,1.746025188419125129e+00,1.702475172630396161e+00
1.009000000000000000e+03,3.363333333333333286e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.028121404647827148e+02,7.718785953521728516e+01,8.140761852264404297e+01,-8.140761852264404297e+01,9.115839854513649657e-03,-2.984255081339915600e-03,1.726940313699505181e+00,1.710585386978167755e+00
1.010000000000000000e+02,3.366666666666666696e+00,1.000000000000000000e+00,0.000000000000000000e+00,8.626145935058593750e+01,-8.626145935058593750e+01,8.393839979171752930e+01,-8.393839979171752930e+01,-1.531183907351714793e-02,3.044460476505271226e-02,1.760859163031018415e+00,1.682057421528723173e+00
1.010000000000000000e+03,3.366666666666666430e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.028580112457275391e+02,7.714198875427246094e+01,8.094031047821044922e+01,-8.094031047821044922e+01,6.925022931237196375e-04,-1.802724201221659814e-02,1.727830630723268035e+00,1.740781171636260671e+00
1.011000000000000000e+03,3.370000000000000284e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.015516004562377930e+02,7.844839954376220703e+01,7.968862819671630859e+01,-7.968862819671630859e+01,3.943985507551740072e-02,2.292311129961437099e-02,1.741531976268716697e+00,1.744342804545905956e+00
1.012000000000000000e+03,3.373333333333333428e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.016138906478881836e+02,7.838610935211181641e+01,8.156645488739013672e+01,-8.156645488739013672e+01,3.219503561540698784e-03,-2.722017846997457080e-02,1.714099634925545068e+00,1.675317693681317666e+00
1.013000000000000000e+03,3.376666666666666572e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.022843999862670898e+02,7.771560001373291016e+01,8.055002593994140625e+01,-8.055002593994140625e+01,-6.046167755988225007e-03,2.041594681113492391e-02,1.788686517306664392e+00,1.748447982365960218e+00
1.014000000000000000e+03,3.379999999999999716e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.034976015090942383e+02,7.650239849090576172e+01,7.932444190979003906e+01,-7.932444190979003906e+01,-1.868117409807312085e-02,-5.491419569819362689e-03,1.787045333245286693e+00,1.748528765596280454e+00
1.015000000000000000e+03,3.383333333333333570e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.002993335723876953e+02,7.970066642761230469e+01,8.062988090515136719e+01,-8.062988090515136719e+01,-1.446950531737815557e-02,1.874450381881529251e-02,1.768820909059388047e+00,1.725449589237753711e+00
1.016000000000000000e+03,3.386666666666666714e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.030904960632324219e+02,7.690950393676757812e+01,8.262370204925537109e+01,-8.262370204925537109e+01,2.343551370887653196e-02,-2.137012799685586092e-02,1.723183837703613053e+00,1.743019573502248010e+00
1.017000000000000000e+03,3.389999999999999858e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.036562871932983398e+02,7.634371280670166016e+01,7.904848766326904297e+01,-7.904848766326904297e+01,9.115839854513649657e-03,2.865795391778793843e-03,1.745427931532821830e+00,1.803872425229295695e+00
1.018000000000000000e+03,3.393333333333333002e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.033396081924438477e+02,7.666039180755615234e+01,8.006225490570068359e+01,-8.006225490570068359e+01,2.427784746501552432e-02,1.289445334569658090e-02,1.766487856271756085e+00,1.772772854958383659e+00
1.019000000000000000e+03,3.396666666666666856e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.024900913238525391e+02,7.750990867614746094e+01,8.168010044097900391e+01,-8.168010044097900391e+01,1.501217614748660140e-02,-2.053440650069604523e-02,1.772065152406502309e+00,1.733270915682443736e+00
1.020000000000000000e+02,3.399999999999999911e+00,1.000000000000000000e+00,0.000000000000000000e+00,8.762802124023437500e+01,-8.762802124023437500e+01,8.344654226303100586e+01,-8.344654226303100586e+01,-3.131618044015801322e-02,-4.655698073659546993e-03,1.696076399912503696e+00,1.696830071850125465e+00
1.020000000000000000e+03,3.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.019674844741821289e+02,7.803251552581787109e+01,7.996474552154541016e+01,-7.996474552154541016e+01,-1.194250404896117501e-02,-1.134147004293807257e-02,1.777443845655249044e+00,1.788386845482857090e+00
1.021000000000000000e+03,3.403333333333333144e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.021575269699096680e+02,7.784247303009033203e+01,8.075917434692382812e+01,-8.075917434692382812e+01,2.175084619659854376e-02,2.041594681113492391e-02,1.706673546888413551e+00,1.748141550386549614e+00
1.022000000000000000e+03,3.406666666666666998e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.014711732864379883e+02,7.852882671356201172e+01,8.210094261169433594e+01,-8.210094261169433594e+01,3.438585253868343961e-02,-9.670027050618441172e-03,1.707679233431453447e+00,1.732814178542613659e+00
1.023000000000000000e+03,3.410000000000000142e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.016788339614868164e+02,7.832116603851318359e+01,8.284447574615478516e+01,-8.284447574615478516e+01,2.764718248957149724e-02,-2.220584949301567662e-02,1.797747173792524578e+00,1.758104934692021670e+00
1.024000000000000000e+03,3.413333333333333286e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.014567232131958008e+02,7.854327678680419922e+01,7.991005992889404297e+01,-7.991005992889404297e+01,-6.046167755988225007e-03,-1.050574854677825687e-02,1.767123078860579621e+00,1.702558784444322182e+00
1.025000000000000000e+03,3.416666666666666430e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.011542615890502930e+02,7.884573841094970703e+01,8.075484657287597656e+01,-8.075484657287597656e+01,1.585450990362559376e-02,2.960888326889289657e-02,1.726104404181839858e+00,1.804837694848066221e+00
1.026000000000000000e+03,3.420000000000000284e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.020533714294433594e+02,7.794662857055664062e+01,8.089888954162597656e+01,-8.089888954162597656e+01,1.501217614748660140e-02,-4.770905928604688350e-04,1.756862074270596930e+00,1.766348973685822443e+00
1.027000000000000000e+03,3.423333333333333428e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.011990060806274414e+02,7.880099391937255859e+01,7.950527095794677734e+01,-7.950527095794677734e+01,2.343551370887653196e-02,-5.491419569819362689e-03,1.767702992443522136e+00,1.812244568707282122e+00
1.028000000000000000e+03,3.426666666666666572e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.021903371810913086e+02,7.780966281890869141e+01,7.955889320373535156e+01,-7.955889320373535156e+01,2.848951624571048960e-02,-1.719152051605678244e-02,1.769916047327747322e+00,1.767848696778429707e+00
