# frame_no,time,bDetected,angle_B,angle_L,angle_wrtB_L,angle_R,angle_wrtB_R,area_norm_L,area_norm_R,ax_ratio_L,ax_ratio_R
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.186767883943417701e+01,7.287357902526855469e+01,1.899409981416562232e+01,8.921470373868942261e+01,2.652975100744754400e+00,-1.439374803198653976e-02,-5.281606506212406515e-03,1.626582555047361156e+00,1.711614565367888918e+00
1.000000000000000000e+00,3.333333333333333287e-02,1.000000000000000000e+00,9.248955292199916300e+01,7.375224304199218750e+01,1.873730988000697550e+01,8.879249119758605957e+01,3.697061724413103434e+00,-4.628364077597163333e-03,7.646141568075085632e-03,1.633978116461136665e+00,1.658367975871557487e+00
1.000000000000000000e+01,3.333333333333333148e-01,1.000000000000000000e+00,9.248955292199916300e+01,7.181529045104980469e+01,2.067426247094935832e+01,8.797655057907104492e+01,4.513002342928118082e+00,-1.299869318135948512e-02,1.698284851061605122e-02,1.631054226790167094e+00,1.681979252125474833e+00
1.000000000000000000e+02,3.333333333333333481e+00,1.000000000000000000e+00,9.311084065349076866e+01,7.051023292541503906e+01,2.260060772807572960e+01,8.908187550306320190e+01,4.028965150427566755e+00,-5.325891502910689787e-03,5.491516889027169696e-03,1.638742993994439567e+00,1.710951147105080894e+00
1.000000000000000000e+03,3.333333333333333570e+01,1.000000000000000000e+00,9.298146121998219371e+01,6.776027488708496094e+01,2.522118633289723277e+01,8.720024418830871582e+01,5.781217031673477891e+00,1.629745868180864157e-02,1.841926496331466184e-02,1.586802015286997491e+00,1.721086735225594078e+00
1.001000000000000000e+03,3.336666666666666714e+01,1.000000000000000000e+00,9.314495746469802384e+01,6.736870002746582031e+01,2.577625743723220353e+01,8.703200578689575195e+01,6.112951677802271888e+00,1.699498610712216889e-02,1.195539092617091577e-02,1.606658613710916450e+00,1.727099231421743486e+00
1.002000000000000000e+03,3.339999999999999858e+01,1.000000000000000000e+00,9.298146121998219371e+01,6.690114784240722656e+01,2.608031337757496715e+01,8.703559756278991699e+01,5.945863657192276719e+00,1.490240383118158866e-02,4.773308662677865251e-03,1.583385339409961956e+00,1.724859691709311083e+00
1.003000000000000000e+03,3.343333333333333002e+01,1.000000000000000000e+00,9.314495746469802384e+01,6.707637977600097656e+01,2.606857768869704728e+01,8.686047554016113281e+01,6.284481924536891029e+00,7.927129578046320652e-03,1.051897447347230515e-02,1.600279501074627353e+00,1.715605057822737756e+00
1.004000000000000000e+03,3.346666666666666856e+01,1.000000000000000000e+00,9.317983011986423492e+01,6.736565017700195312e+01,2.581417994286228179e+01,8.654844069480895996e+01,6.631389425055274955e+00,1.350734898055453576e-02,4.773308662677865251e-03,1.587876818734213158e+00,1.714364787001517287e+00
1.005000000000000000e+03,3.350000000000000000e+01,1.000000000000000000e+00,9.311084065349076866e+01,6.719259262084960938e+01,2.591824803264115928e+01,8.708910226821899414e+01,6.021738385271774519e+00,7.229602152732794197e-03,7.646141568075085632e-03,1.612775190834742078e+00,1.724840990774589411e+00
1.006000000000000000e+03,3.353333333333333144e+01,1.000000000000000000e+00,9.238594403038882774e+01,6.727468681335449219e+01,2.511125721703433555e+01,8.686183166503906250e+01,5.524112365349765241e+00,7.927129578046320652e-03,2.618683983629949315e-03,1.599223657282199174e+00,1.701746965899625152e+00
1.007000000000000000e+03,3.356666666666666998e+01,1.000000000000000000e+00,9.311084065349076866e+01,6.692366790771484375e+01,2.618717274577592491e+01,8.734743094444274902e+01,5.763409709048019636e+00,5.834547302105740421e-03,1.182267530931339341e-03,1.601651280379796427e+00,1.717613684655941553e+00
1.008000000000000000e+03,3.360000000000000142e+01,1.000000000000000000e+00,9.314495746469802384e+01,6.668508338928222656e+01,2.645987407541579728e+01,8.714181780815124512e+01,6.003139656546778724e+00,7.229602152732794197e-03,-3.845190053513796759e-03,1.590031868593886122e+00,1.706865663025739499e+00
1.009000000000000000e+03,3.363333333333333286e+01,1.000000000000000000e+00,9.311084065349076866e+01,6.709560012817382812e+01,2.601524052531694053e+01,8.660015153884887695e+01,6.510689114641891706e+00,3.741965026165159323e-03,3.336892209979254627e-03,1.605129291586097517e+00,1.702679502074798679e+00
1.010000000000000000e+02,3.366666666666666696e+00,1.000000000000000000e+00,9.248955292199916300e+01,7.142646980285644531e+01,2.106308311914271769e+01,8.862144351005554199e+01,3.868109411943621012e+00,-5.325891502910689787e-03,1.195539092617091577e-02,1.616094362037179044e+00,1.707726548116724974e+00
1.010000000000000000e+03,3.366666666666666430e+01,1.000000000000000000e+00,9.248955292199916300e+01,6.641599273681640625e+01,2.607356018518275675e+01,8.750603008270263672e+01,4.983522839296526286e+00,1.001971185398690088e-02,6.209725115376475008e-03,1.600919057684452085e+00,1.713479961502607951e+00
1.011000000000000000e+03,3.370000000000000284e+01,1.000000000000000000e+00,9.311084065349076866e+01,6.708453750610351562e+01,2.602630314738725303e+01,8.692367410659790039e+01,6.187166546892868269e+00,7.229602152732794197e-03,-1.690565374465881256e-03,1.578849895541633019e+00,1.733422212881732927e+00
1.012000000000000000e+03,3.373333333333333428e+01,1.000000000000000000e+00,9.307745539942438029e+01,6.682963943481445312e+01,2.624781596460992716e+01,8.735530018806457520e+01,5.722155211359805094e+00,7.927129578046320652e-03,8.364349794424390944e-03,1.604718275709245745e+00,1.703909246243338949e+00
1.013000000000000000e+03,3.376666666666666572e+01,1.000000000000000000e+00,9.311084065349076866e+01,6.708205795288085938e+01,2.602878270060990928e+01,8.715344858169555664e+01,5.957392071795212019e+00,5.834547302105740421e-03,2.618683983629949315e-03,1.610310007147775835e+00,1.735126717756007908e+00
1.014000000000000000e+03,3.379999999999999716e+01,1.000000000000000000e+00,9.314495746469802384e+01,6.704441070556640625e+01,2.610054675913161759e+01,8.733266806602478027e+01,5.812289398673243568e+00,1.141476670461395553e-02,3.336892209979254627e-03,1.609797379464660727e+00,1.726426620056536576e+00
1.015000000000000000e+03,3.383333333333333570e+01,1.000000000000000000e+00,9.311084065349076866e+01,6.668789291381835938e+01,2.642294773967240928e+01,8.657052159309387207e+01,6.540319060396896589e+00,1.280982155524100843e-02,6.209725115376475008e-03,1.591914632765371262e+00,1.713769286418973747e+00
1.016000000000000000e+03,3.386666666666666714e+01,1.000000000000000000e+00,9.311084065349076866e+01,6.691451263427734375e+01,2.619632801921342491e+01,8.664375066757202148e+01,6.467089985918747175e+00,5.834547302105740421e-03,6.927933341725780320e-03,1.595591370997933911e+00,1.711378002559821532e+00
1.017000000000000000e+03,3.389999999999999858e+01,1.000000000000000000e+00,9.314495746469802384e+01,6.681738090515136719e+01,2.632757655954665665e+01,8.665947365760803223e+01,6.485483807089991615e+00,5.137019876792213099e-03,6.927933341725780320e-03,1.606380694510448182e+00,1.731600469520202745e+00
1.018000000000000000e+03,3.393333333333333002e+01,1.000000000000000000e+00,9.311084065349076866e+01,6.690367889404296875e+01,2.620716175944779991e+01,8.652660799026489258e+01,6.584232663225876081e+00,7.229602152732794197e-03,-9.723571481165761612e-04,1.592499979528190890e+00,1.722817571682121685e+00
1.019000000000000000e+03,3.396666666666666856e+01,1.000000000000000000e+00,9.314495746469802384e+01,6.674438285827636719e+01,2.640057460642165665e+01,8.649647760391235352e+01,6.648479860785670326e+00,1.001971185398690088e-02,4.640593045820341376e-04,1.590880895934493333e+00,1.709950670501656056e+00
