# frame_no,time,bDetected,angle_B,angle_L,angle_wrtB_L,angle_R,angle_wrtB_R,area_norm_L,area_norm_R,ax_ratio_L,ax_ratio_R
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.610277965365578723e+01,9.374931335449218750e+01,2.353466299163599729e+00,1.073203277587890625e+02,-1.121754810513327527e+01,1.275660981537925232e-02,-1.552382819553842046e-02,1.584164085376684961e+00,1.575449538678081796e+00
1.000000000000000000e+00,1.666666666666666644e-02,1.000000000000000000e+00,9.610277965365578723e+01,9.374931335449218750e+01,2.353466299163599729e+00,1.073203277587890625e+02,-1.121754810513327527e+01,1.275660981537925232e-02,-1.552382819553842046e-02,1.584164085376684961e+00,1.575449538678081796e+00
1.000000000000000000e+01,1.666666666666666574e-01,1.000000000000000000e+00,9.612188536393256300e+01,9.325746154785156250e+01,2.864423816081000496e+00,1.065738220214843750e+02,-1.045193665755181200e+01,1.659794456925284614e-02,-2.882649021300399961e-02,1.589190080340810107e+00,1.637548704491502471e+00
1.000000000000000000e+02,1.666666666666666741e+00,1.000000000000000000e+00,9.602753029552127373e+01,9.167990112304687500e+01,4.347629172474398729e+00,1.049264373779296875e+02,-8.898907082408413771e+00,9.166342692477787851e-03,-1.782012104379140927e-02,1.592607850696786898e+00,1.590364475789400878e+00
1.010000000000000000e+02,1.683333333333333348e+00,1.000000000000000000e+00,9.564264679578108996e+01,9.178746032714843750e+01,3.855186468632652463e+00,1.049354095458984375e+02,-9.292762750117347537e+00,9.040808876991723170e-03,-1.396657212603352217e-02,1.596837749212386415e+00,1.584973452447166808e+00
1.020000000000000000e+02,1.699999999999999956e+00,1.000000000000000000e+00,9.572783532160542563e+01,9.178651428222656250e+01,3.941321039378863134e+00,1.051787414550781250e+02,-9.450906133472699366e+00,7.509296328061728330e-03,-1.615728829160821209e-02,1.597731993286833907e+00,1.583657093412678796e+00
1.030000000000000000e+02,1.716666666666666563e+00,1.000000000000000000e+00,9.552200806907096364e+01,9.165522766113281250e+01,3.866780407938151143e+00,1.047885894775390625e+02,-9.266581408468098857e+00,7.559509854256154376e-03,-1.515430980616437780e-02,1.593678580912346376e+00,1.591090459600509766e+00
1.040000000000000000e+02,1.733333333333333393e+00,1.000000000000000000e+00,9.594313795291165547e+01,9.160078430175781250e+01,4.342353651153842975e+00,1.051634674072265625e+02,-9.220329454314907025e+00,1.338427889280957746e-02,-1.203979766715457950e-02,1.590456129903368820e+00,1.585972392905114381e+00
1.050000000000000000e+02,1.750000000000000000e+00,1.000000000000000000e+00,9.557219780396380315e+01,9.170654296875000000e+01,3.865654835213803153e+00,1.050999450683593750e+02,-9.527747264395571847e+00,1.064764171521335664e-02,-1.269965193389394238e-02,1.588181182910541667e+00,1.580911847773903034e+00
1.060000000000000000e+02,1.766666666666666607e+00,1.000000000000000000e+00,9.596181010366066744e+01,9.169731140136718750e+01,4.264498702293479937e+00,1.050875244140625000e+02,-9.125714310401832563e+00,1.612091607040579827e-02,-9.215621405510101422e-03,1.590088096618474278e+00,1.591154246916256287e+00
1.070000000000000000e+02,1.783333333333333437e+00,1.000000000000000000e+00,9.606492244544796222e+01,9.168054199218750000e+01,4.384380453260462218e+00,1.052954254150390625e+02,-9.230502969591100282e+00,1.371066681307334632e-02,-1.087845415769329860e-02,1.588039960555465813e+00,1.580074156247911921e+00
1.080000000000000000e+02,1.800000000000000044e+00,1.000000000000000000e+00,9.606492244544796222e+01,9.166725158691406250e+01,4.397670858533899718e+00,1.054242248535156250e+02,-9.359302408067662782e+00,1.629666341208628813e-02,-7.605576994666051957e-03,1.585024230152286329e+00,1.581036375299726515e+00
1.090000000000000000e+02,1.816666666666666652e+00,1.000000000000000000e+00,9.581897090139457873e+01,9.164036560058593750e+01,4.178605300808641232e+00,1.048836517333984375e+02,-9.064680832003858768e+00,1.345959918210121696e-02,-7.526394482657328654e-03,1.593213029305735828e+00,1.584092527475268408e+00
1.100000000000000000e+01,1.833333333333333204e-01,1.000000000000000000e+00,9.571059313749964303e+01,9.292205810546875000e+01,2.788535032030893035e+00,1.068333282470703125e+02,-1.112273510957066947e+01,1.443876294289252529e-02,-3.312874003214465179e-02,1.582990408688808470e+00,1.660240574338228470e+00
1.100000000000000000e+02,1.833333333333333259e+00,1.000000000000000000e+00,9.560927444644580930e+01,9.178363037109375000e+01,3.825644075352059303e+00,1.052383575439453125e+02,-9.629083097499503197e+00,1.308299773564302118e-02,-7.922307042700946905e-03,1.591990292905839821e+00,1.583535524988321619e+00
1.110000000000000000e+02,1.850000000000000089e+00,1.000000000000000000e+00,9.588781428439881438e+01,9.199330139160156250e+01,3.894512892797251880e+00,1.052377319335937500e+02,-9.349917649194935620e+00,1.170212576529630448e-02,-1.309556449393756150e-02,1.590793467757268376e+00,1.587561231592781397e+00
1.120000000000000000e+02,1.866666666666666696e+00,1.000000000000000000e+00,9.634019174590990531e+01,9.151335144042968750e+01,4.826840305480217808e+00,1.055250854492187500e+02,-9.184893703308844692e+00,1.079828229379663565e-02,-1.375541876067692612e-02,1.592224412811243939e+00,1.582384182050004418e+00
1.130000000000000000e+02,1.883333333333333304e+00,1.000000000000000000e+00,9.480348575906907627e+01,9.140849304199218750e+01,3.394992717076888766e+00,1.048750610351562500e+02,-1.007157527608717373e+01,1.569410109775317558e-02,-9.558745624214569359e-03,1.583974862232110148e+00,1.596244038772478335e+00
1.140000000000000000e+02,1.899999999999999911e+00,1.000000000000000000e+00,9.604616877343634940e+01,9.118214416503906250e+01,4.864024608397286897e+00,1.046699676513671875e+02,-8.623798877930838103e+00,1.421280207501760852e-02,-1.140633757108478960e-02,1.591989846511900897e+00,1.600087216611733698e+00
1.150000000000000000e+02,1.916666666666666741e+00,1.000000000000000000e+00,9.497668567104757642e+01,9.138578796386718750e+01,3.590897707180388920e+00,1.050547332763671875e+02,-1.007804760531961108e+01,8.789741246019593807e-03,-1.636844165696480641e-02,1.589555960401689338e+00,1.597154933195902515e+00
1.160000000000000000e+02,1.933333333333333348e+00,1.000000000000000000e+00,9.585149855159173171e+01,9.129177856445312500e+01,4.559719987138606712e+00,1.049808502197265625e+02,-9.129351668134830788e+00,1.501621849412842526e-02,-1.206619183782415249e-02,1.587773096478531043e+00,1.588149038906258692e+00
1.170000000000000000e+02,1.949999999999999956e+00,1.000000000000000000e+00,9.468326421783322644e+01,9.071037292480468750e+01,3.972891293028538939e+00,1.052229309082031250e+02,-1.053966669036989856e+01,8.463353325755823206e-03,-2.262386010565397773e-02,1.573978076288603090e+00,1.587113448721623854e+00
1.180000000000000000e+02,1.966666666666666563e+00,1.000000000000000000e+00,9.511731484997264374e+01,9.070570373535156250e+01,4.411611114621081242e+00,1.056985778808593750e+02,-1.058126303088673126e+01,2.184525805657036926e-02,-8.397402114753288460e-03,1.574365053752869947e+00,1.587106114111378252e+00
1.190000000000000000e+02,1.983333333333333393e+00,1.000000000000000000e+00,9.476364169072617472e+01,9.078770446777343750e+01,3.975937222952737216e+00,1.054931182861328125e+02,-1.072947659540663778e+01,1.956054261472398373e-02,-1.108960752304989465e-02,1.570328706201618241e+00,1.582788691525040203e+00
1.200000000000000000e+01,2.000000000000000111e-01,1.000000000000000000e+00,9.581248238311273724e+01,9.296926879882812500e+01,2.843213584284612239e+00,1.067825775146484375e+02,-1.097009513153570026e+01,1.574431462394760423e-02,-2.784990589822974177e-02,1.577933465199168772e+00,1.637859049939971667e+00
1.200000000000000000e+02,2.000000000000000000e+00,1.000000000000000000e+00,9.459425333126638691e+01,9.066319274902343750e+01,3.931060582242949408e+00,1.052990875244140625e+02,-1.070483419314767559e+01,2.259846094948676082e-02,-1.272604610456351711e-02,1.573212158104918990e+00,1.580325057098035613e+00
1.210000000000000000e+02,2.016666666666666607e+00,1.000000000000000000e+00,9.528124062844511855e+01,9.024786376953125000e+01,5.033376858913868546e+00,1.057433166503906250e+02,-1.046207602194550645e+01,2.525977783779134039e-02,-1.217176852050245138e-02,1.561775516371379791e+00,1.584851805290961702e+00
1.220000000000000000e+02,2.033333333333333215e+00,1.000000000000000000e+00,9.525027272973305514e+01,9.019642639160156250e+01,5.053846338131492644e+00,1.054111175537109375e+02,-1.016084482397788236e+01,2.890025848688723004e-02,-3.752028076908166167e-03,1.565330997003165248e+00,1.578043870963949491e+00
1.230000000000000000e+02,2.049999999999999822e+00,1.000000000000000000e+00,9.525027272973305514e+01,9.019642639160156250e+01,5.053846338131492644e+00,1.054111175537109375e+02,-1.016084482397788236e+01,2.890025848688723004e-02,-3.752028076908166167e-03,1.565330997003165248e+00,1.578043870963949491e+00
1.240000000000000000e+02,2.066666666666666874e+00,1.000000000000000000e+00,9.413467137373642402e+01,9.035221862792968750e+01,3.782452745806736516e+00,1.047905273437500000e+02,-1.065585597001357598e+01,2.458189523416658834e-02,-7.843124530692222734e-03,1.576574563307567622e+00,1.580003997031547813e+00
1.250000000000000000e+02,2.083333333333333481e+00,1.000000000000000000e+00,9.456094520316131025e+01,9.026876831054687500e+01,4.292176892614435246e+00,1.049566802978515625e+02,-1.039573509469025225e+01,2.322613002691708423e-02,-1.153830842443266148e-02,1.574114573934108918e+00,1.576180361419717180e+00
1.260000000000000000e+02,2.100000000000000089e+00,1.000000000000000000e+00,9.414711931057496486e+01,9.008558654785156250e+01,4.061532762723402357e+00,1.047726898193359375e+02,-1.062557050876097264e+01,2.819726912016526713e-02,6.557984249107854562e-04,1.573849833751980398e+00,1.577078834714679356e+00
1.270000000000000000e+02,2.116666666666666696e+00,1.000000000000000000e+00,9.430631417578264575e+01,8.999294830951839685e+01,4.313365866264248893e+00,1.048509979248046875e+02,-1.054468374902204175e+01,2.176993776727872976e-02,-7.262452775961583153e-03,1.573890461700161891e+00,1.579288104512851287e+00
1.280000000000000000e+02,2.133333333333333304e+00,1.000000000000000000e+00,9.450490686360703307e+01,9.011372375488281250e+01,4.391183108724220574e+00,1.047514953613281250e+02,-1.024658849772109193e+01,2.006267787666824245e-02,-1.238292188585904743e-02,1.579534867702445888e+00,1.576341345716537390e+00
1.290000000000000000e+02,2.149999999999999911e+00,1.000000000000000000e+00,9.447787957384964841e+01,9.000738525390625000e+01,4.470494319943398409e+00,1.048861236572265625e+02,-1.040824408337691409e+01,2.340187736859757756e-02,-3.989575612934337379e-03,1.578950219126273646e+00,1.570698252200966927e+00
1.300000000000000000e+01,2.166666666666666741e-01,1.000000000000000000e+00,9.581248238311273724e+01,9.296926879882812500e+01,2.843213584284612239e+00,1.067825775146484375e+02,-1.097009513153570026e+01,1.574431462394760423e-02,-2.784990589822974177e-02,1.577933465199168772e+00,1.637859049939971667e+00
1.300000000000000000e+02,2.166666666666666519e+00,1.000000000000000000e+00,9.447787957384964841e+01,9.000738525390625000e+01,4.470494319943398409e+00,1.048861236572265625e+02,-1.040824408337691409e+01,2.340187736859757756e-02,-3.989575612934337379e-03,1.578950219126273646e+00,1.570698252200966927e+00
1.310000000000000000e+02,2.183333333333333126e+00,1.000000000000000000e+00,9.425523796199922799e+01,9.027597045898437500e+01,3.979267503014852991e+00,1.046245880126953125e+02,-1.036935005069608451e+01,1.694943925261382933e-02,-1.153830842443266148e-02,1.579140397109784377e+00,1.578891995687829786e+00
1.320000000000000000e+02,2.200000000000000178e+00,1.000000000000000000e+00,9.425523796199922799e+01,9.027597045898437500e+01,3.979267503014852991e+00,1.046245880126953125e+02,-1.036935005069608451e+01,1.694943925261382933e-02,-1.153830842443266148e-02,1.579140397109784377e+00,1.578891995687829786e+00
1.330000000000000000e+02,2.216666666666666785e+00,1.000000000000000000e+00,9.449135264236751652e+01,9.059382629394531250e+01,3.897526348422204023e+00,1.050034790039062500e+02,-1.051212636153873348e+01,1.933458174684906522e-02,-7.368029458639881180e-03,1.580084394064079412e+00,1.580348814541173486e+00
1.340000000000000000e+02,2.233333333333333393e+00,1.000000000000000000e+00,9.449135264236751652e+01,9.059382629394531250e+01,3.897526348422204023e+00,1.050034790039062500e+02,-1.051212636153873348e+01,1.933458174684906522e-02,-7.368029458639881180e-03,1.580084394064079412e+00,1.580348814541173486e+00
1.350000000000000000e+02,2.250000000000000000e+00,1.000000000000000000e+00,9.449135264236751652e+01,9.059382629394531250e+01,3.897526348422204023e+00,1.050034790039062500e+02,-1.051212636153873348e+01,1.933458174684906522e-02,-7.368029458639881180e-03,1.580084394064079412e+00,1.580348814541173486e+00
1.360000000000000000e+02,2.266666666666666607e+00,1.000000000000000000e+00,9.473343833057548125e+01,9.059790039062500000e+01,4.135537939950481245e+00,1.050205383300781250e+02,-1.028709999950264375e+01,1.418769531192039419e-02,-9.505957282875421646e-03,1.582018702799476761e+00,1.578592772120955390e+00
